current_assets,prev_current_assets,cash,short_term_investments,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,accounts_receivable,prev_accounts_receivable,capex,roe,debt_ratio,opm,year,sga_expense,prev_sga
157070685828,110666678668,26679864704,1588288573,46822457108,398396522785,330812503709,699716321558,220695105034,113256752496,19911956762,24166892400,358592061248,194613240826,341124260310,460400869769,368026063018,321642973921,276132714646,138757895848,91893348372,82147806315,49001547377,77385426317,58922577549,91846194790,23417736430,9796669192,4015817257,-665703088,-141784949616,,,,2016,,
182662679015,157070685828,49744221430,1213323358,44641059320,399329847792,398396522785,723320120066,189990060132,220695105034,44804030525,53205278961,332458107150,236752514695,390862012916,521574392488,460400869769,379287401965,321642973921,142286990523,138757895848,79151813679,82147806315,74708560135,58071493692,87425084013,29119657755,9514411854,80966420656,75570537344,-32869981355,,,,2017,63135176844.0,56610089533.0
156519810698,182662679015,14321306118,4948074530,54910217928,495793017012,399329847792,791727784879,165042940141,189990060132,47013344394,7479229517,344490922221,302700808712,447236862658,581947485702,521574392488,424008802420,379287401965,157938683282,142286990523,93585916135,79151813679,92477266641,67755735342,100575892527,29770870697,7944227899,75176238735,80966420656,-121473522303,,,,2018,64352767147.0,63135176844.0
306707463699,156519810698,57077032200,63783691281,61469632201,493976560069,495793017012,939194150931,194313349130,165042940141,22120002747,21927059041,418640472803,371778414280,520553678128,587561120459,581947485702,411808495634,424008802420,175752624825,157938683282,111415756439,93585916135,118067293512,91031209690,101596803399,35568397426,9634092758,-283617453,7200025537,-140100040901,,,,2019,64336868386.0,64352767147.0
307726380787,306707463699,98150172409,55000000000,60431307631,542816466065,493976560069,999200501892,171630786209,194313349130,8572612328,15000000000,376929963896,470804267514,622270537996,619277678729,544307363674,405401653501,380175118188,213876025228,164132245486,151933828832,111153549117,160812303154,123884013109,165042142694,37002817111,6015216104,249258944,594162470,-51383261838,,,,2020,61942196396.0,52978696369.0
411301736920,307726380787,66050681155,131000087611,100241721500,625128066830,542816466065,1197174769029,199711858483,171630786209,7976271112,0,429305067616,595857948345,767869701413,768688180555,619277678729,500716457375,405401653501,267971723180,213876025228,197684583161,151933828832,208702123405,158670881601,143216285623,41473208255,5773295459,285434303,249258944,-180473167425,,,,2021,70287140019.0,61942196396.0
386120253270,411301736920,99069597710,44889279782,125407321016,691560800310,625128066830,1253310602636,153669789765,199711858483,5986950587,0,400814014226,733897019185,852496588410,885470791861,768688180555,619788692622,500716457375,265682099239,267971723180,185990108464,197684583161,194237859330,166977755320,173619763063,47987499058,5008160484,226117201,285434303,-30167558936,,,,2022,79691990775.0,70287140019.0
367414633780,386120253270,67090723198,48000000000,124426638811,800990683180,691560800310,1350979663141,247816973238,153669789765,19135165228,76729734571,1350979663141,811266523759,941487453306,771654641559,885470791861,566694534443,619788692622,204960107116,265682099239,124144351473,185990108464,26902312689,108690123238,144112563274,41790368,5809127766,3535522352,1680882260,-171857063332,,,,2023,80815755643.0,79691990775.0
348048080154,367414633780,83682420420,20000000000,125926226072,862190112663,800990683180,1464678817159,272370414176,247816973238,69200879931,0,1464678817159,908748838980,1071443703044,776356975793,771654641559,571593175691,566694534443,204763800102,204960107116,128825376120,124144351473,22879421603,124893890949,162357290592,66721105,5328735362,1533699646,3535522352,-72067028328,,,,2024,75938423982.0,80815755643.0
447927418690,348048080154,112551479633,38365154902,123784800418,881167204537,862190112663,1600348080121,274800694301,272370414176,52809626645,69992295467,1600348080121,1030138295326,1177266387675,883968714104,776356975793,633599177331,571593175691,250369536773,204763800102,156233146521,128825376120,31406597056,148134823618,200397744222,80148700,7264749145,-4639111908,1533699646,-130794004892,,,,2025,94136390252.0,75938423982.0
