current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_investments,interest_expense,roe,debt_ratio,opm,year,depreciation
171842934086,149349688128,10194724849,80707818074,42799356327,65871749071,209835826118,219162215015,442080595613,72387459628,112489636136,49732219903,89000000000,165374761628,-35833039755,276705833985,104811184059,74732429050,62850591754,26840810104,41960592305,47891618946,43699342722,40028669579,-15004816178,-13524205373,-23449692140,-21105977950,-26209044191,2368926736,636000000,0.0,,,,2016,
211106672431,171842934086,5637883148,123466409989,80707818074,65242661034,199864328531,209835826118,470269310117,124290302673,72387459628,96123608211,48125000000,176645641783,-20909503008,293623668334,135860255627,104811184059,77574644138,62850591754,58285611489,41960592305,48582105321,43699342722,8670525737,-15004816178,15463555087,15714764747,-10163098910,-1011959358,36000000,0.0,,,,2017,
199960535777,211106672431,9117682931,132727504152,123466409989,42017419743,195554368898,199864328531,452444114844,145034436191,124290302673,112602515066,34375000000,182409436191,-45122650763,270034678653,146880153915,135860255627,106290937409,77574644138,40589216506,58285611489,34868151979,49007196972,3569376313,8670525737,-6260127032,-9388770745,14312677458,-7330743433,336000000,5827725201.0,,,,2018,232867950.0
188855498437,199960535777,10764154465,138776340982,132727504152,33101847155,215989334885,195554368898,470980395573,149138502285,145034436191,122710000000,38602997354,190949017962,11168289855,280031377611,173512796760,146880153915,111045995975,106290937409,62466800785,40589216506,45318453848,34868151979,14735270455,3569376313,8844851893,8602167882,27854830281,-34469537475,0,,,,,2019,280619763.0
230954114698,188855498437,25747837109,140466170406,138776340982,55013900086,247205317380,215989334885,548074597598,184926886280,149138502285,134750000000,57264015633,247513800382,31565514235,300560797216,233568477708,173512796760,160404142257,111045995975,73164335451,62466800785,44598692157,45318453848,23629562504,14735270455,-811828372,20939675880,36246250500,-44880323386,9567744271,,,,,2020,324297345.0
