current_assets,prev_current_assets,cash,short_term_investments,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,depreciation,accounts_receivable,prev_accounts_receivable
49157797317,18684044772,11017948697,8050000000,6434416869,8173970653,63950031136,13815861592,18113095036,0.0,0,29691863522,-120053087788,34258167614,9767826850.0,14783913205.0,-17863480687,-10820161233,-19434747009,-19899662518,-16334713054,-38042803523,,,,2022,,,
61297468938,49157797317,12856148116,8000000000,5360144244,6434416869,94653233638,12490250109,13815861592,0.0,11047084259,94653233638,-156901377715,81343825337,,,-31335510474,-17863480687,-695840023,-36848289927,-28848807106,-32211881542,,,,2023,10000000000.0,,
56455763879,61297468938,10153556408,14550000000,5370084316,5360144244,73658644252,6770470705,12490250109,0.0,0,73658644252,-189514475805,66412537872,,,-36339049690,-31335510474,32150250,-32613098090,-29051772146,22289713610,,,,2024,5500000000.0,,
148308460678,56455763879,35736727801,32565869330,6159832284,5370084316,171234323350,7897659965,6770470705,,0,171234323350,-232220809390,103795095825,7512306000.0,0.0,-54384535976,-36339049690,-7928084435,-42706333585,-72094552780,-32466320884,,,,2025,25000000000.0,21523500.0,0.0
