ticker,ask_price_1,ask_vol_1,ask_price_2,ask_vol_2,ask_price_3,ask_vol_3,ask_price_4,ask_vol_4,ask_price_5,ask_vol_5,bid_price_1,bid_vol_1,bid_price_2,bid_vol_2,bid_price_3,bid_vol_3,bid_price_4,bid_vol_4,bid_price_5,bid_vol_5,total_ask_vol,total_bid_vol,order_imbalance,spread,spread_pct,bid_depth_ratio,timestamp
138040,114000,2,114100,47,114200,275,114300,64,114400,153,113600,51,113500,77,113300,32,113200,6,113100,52,541,218,-0.4255599472934708,400,0.352112676056307,0.2339449541177089,2026-05-12 09:00:12
138040,113900,615,114000,1090,114100,169,114300,271,114400,412,113600,63,113500,1011,113300,41,113200,10,113100,55,2557,1180,-0.3684773882783824,300,0.2640845070422303,0.0533898305080221,2026-05-12 09:10:04
138040,112600,25,112800,423,112900,21,113000,48,113100,10,112500,312,112400,79,112300,172,112200,172,112100,407,527,1142,0.3684841222266717,100,0.088888888888881,0.273204903675366,2026-05-12 09:19:37
138040,111100,30,111200,193,111300,105,111400,92,111500,135,111000,254,110900,1114,110800,617,110700,334,110600,339,555,2658,0.6545284780558527,100,0.0900900900900819,0.0955605718581807,2026-05-12 09:31:14
138040,110800,174,110900,24,111000,138,111100,30,111300,110,110600,63,110500,1601,110400,888,110300,280,110200,335,476,3167,0.7386769146287712,200,0.1808318264014303,0.019892642879634,2026-05-12 09:42:28
138040,109900,131,110000,84,110100,125,110200,43,110300,74,109800,59,109700,386,109600,228,109500,922,109400,34,457,1629,0.561840843717345,100,0.0910746812386073,0.0362185389807475,2026-05-12 09:52:57
138040,109500,172,109600,10,109700,4,109800,135,109900,210,109400,105,109300,591,109200,582,109100,876,109000,5372,531,7526,0.8681891522888566,100,0.0914076782449642,0.0139516343342891,2026-05-12 10:02:29
138040,110200,212,110300,94,110400,20,110500,270,110600,29,110100,136,110000,15,109900,64,109800,119,109700,228,625,562,-0.0530749789380532,100,0.0908265213442242,0.2419928825579716,2026-05-12 10:15:56
138040,109300,144,109500,16,109600,101,109800,9,109900,16,109200,566,109100,515,109000,1404,108900,382,108800,675,286,3542,0.8505747126414562,100,0.0915750915750832,0.1597967250136651,2026-05-12 10:26:36
138040,107400,32,107500,150,107600,207,107700,8,107800,43,107300,57,107200,1337,107100,726,107000,361,106900,100,440,2581,0.7087057265782566,100,0.0931966449207741,0.0220844633861988,2026-05-12 10:39:24
