current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,depreciation,operating_income,prev_operating_income,interest_expense,income_tax,net_income,cash_from_operations,capex,gross_profit,prev_gross_profit,roe,debt_ratio,opm,year,sga_expense,prev_sga,long_term_debt,short_term_investments
329993311462,430392672685,102545985537,127315953986,240118685928,95666890859,27749747301,24822865556,969248669297,304714505065,337109188136,25000000000,321684819729,323940240212,647563849568,665284666051,776628551410,580133110173.0,560734995793.0,3204898655,28651638438,216415186418,1383677075,18914190324,7940308277,76523442304,-23662490463,85151555878.0,215893555617.0,,,,2016,,,,
261257660952,329993311462,38360456117,107549384555,127315953986,107708562248,27053808261,27749747301,938783180220,244589839974,304714505065,25000000000,273630938531,350947677292,665152241689,22265372577,18780059864,1458123488.0,1553180416.0,4683916098,39071351376,28651638438,1224013817,33398114519,30818254865,-33681816841,-23029423639,20807249089.0,17226879448.0,,,,2017,,,,
244457071009,261257660952,26857833849,6335327634,19350254288,102818772297,25717837480,27053808261,916545956275,227222088603,244589839974,20000000000,263452031220,342864783041,653093925055,26711401606,22265372577,1452670453.0,1458123488.0,4605574880,26155011471,39071351376,1098225506,18819914596,18021624665,2701370433,3892482681,25258731153.0,20807249089.0,,,,2018,,,,
217079375211,244457071009,16747178724,1469716324,0,100883167112,24943226364,25717837480,910832376933,228188314551,227222088603,44000000000,265145244742,355945593940,645687132191,816618823610,707995356123,1443030577.0,1452670453.0,91091820634,37986177391,26155011471,1731024448,35432022186,30742878636,13024009773,-32452770827,815175793033.0,706542685670.0,,,,2019,5203420507.0,6632587065.0,,
215727154694,217079375211,14848698066,825629827,1469716324,110186056516,24246211248,24943226364,923219549324,220113062830,228188314551,45000000000,264485903238,367922996606,658733646086,857383419139,816618823610,1303565616.0,1443030577.0,87902948626,32502305256,37986177391,1696068271,29966333884,22596604093,13817514742,-6779020572,856079853523.0,815175793033.0,,,,2020,,,5000000000.0,
222559162969,215727154694,16591042500,59586660,93857220,105971172879,24590838747,24246211248,949894435974,220995450190,220113062830,50000000000,259599611967,397059811815,690294824007,42917116208,40172163947,1161167754.0,1303565616.0,94216047615,58852290702,32502305256,1794045777,49122187846,42939923264,13689812095,-2153981900,41755948454.0,38868598331.0,,,,2021,,,5000000000.0,
245348143574,222559162969,21420647432,47248400,59586660,112229228755,86478756994,24590838747,1109690934182,347726498635,220995450190,191250000000,384942964397,461187744661,724747969785,1046054210838,950164817343,,,3453551833,67626014492,58852290702,3689324980,73179718929,69035321647,9451693037,-2134913075,,,,,,2022,,,2606666660.0,
273900397168,245348143574,27578958569,-8587482336,3740947096,104868807910,92296210930,86478756994,1226170046397,395202031620,347726498635,200850000000,1226170046397,533274488294,787472469388,1247906379068,1046054210838,,,340505941,124468680998,67626014492,10160600891,15421788544,115119858471,35158260380,-18675116809,,,,,,2023,,,1311111125.0,6000000000.0
327964548355,273900397168,85228453221,102820314195,108519767835,108730608243,98547043251,92296210930,1349078932369,468827139886,395202031620,202450000000,1349078932369,631254416643,838703712282,1283432295647,1247906379068,,,0,98867912225,124468680998,11345919559,6401960762,56693106363,82986394448,-6873101565,,,,,,2024,,,12777080000.0,2000000000.0
425770012994,327964548355,127389343692,-2588558679,5199087949,122541716918,107326594679,98547043251,1489047152886,483545308112,468827139886,199600000000,529854025529,757964506375,959193127357,1356957532846,1283432295647,,,211739729,138727168534,98867912225,10570323283,15294010772,117709205494,47658093135,12209519769,,,,,,2025,,,13717272000.0,0.0
