ticker,name,PER,PBR,DIV,market_cap,revenue_growth,profit_margin
PG,Procter & Gamble Company (The),23.81926,7.1480017,2.67,375699996672,0.015,0.19299999
KO,Coca-Cola Company (The),26.263157,10.676651,2.59,343440457728,0.024,0.2734
PEP,"Pepsico, Inc.",27.44426,11.049035,3.46,225529085952,0.056,0.08773
COST,Costco Wholesale Corporation,52.7729,14.433653,0.53,437418196992,0.083,0.02961
WMT,Walmart Inc.,43.003498,10.203252,0.79,980580958208,0.058,0.03259
