ticker,name,PER,PBR,DIV,market_cap,revenue_growth,profit_margin
TSLA,"Tesla, Inc.",384.87848,18.807144,0.0,1545326559232,-0.031,0.040009998
GM,General Motors Company,24.926607,1.205591,0.88,76037529600,-0.051,0.014579999
F,Ford Motor Company,7.76259,1.5544215,4.35,55892549632,-0.048,-0.04369
RIVN,"Rivian Automotive, Inc.",-8.00793,4.147203,0.0,18949914624,-0.258,-0.67681
TM,Toyota Motor Corporation,12.895587,12.433858,2.37,312293031936,0.086,0.073249996
