ticker,name,PER,PBR,DIV,market_cap,revenue_growth,profit_margin
NEE,"NextEra Energy, Inc.",27.933334,3.5161734,2.72,192059047936,0.207,0.24934
SO,Southern Company (The),23.457712,2.8774564,3.11,103834198016,0.101,0.14689
DUK,Duke Energy Corporation (Holdin,20.091917,1.9390063,3.37,98591891456,0.144,0.15411
AEP,American Electric Power Company,19.424925,2.2471383,2.96,69971247104,0.132,0.16364999
D,"Dominion Energy, Inc.",21.555555,2.1097074,4.08,56324120576,0.149,0.16790001
