ticker,name,PER,PBR,DIV,market_cap,revenue_growth,profit_margin
UNH,UnitedHealth Group Incorporated,21.936459,2.6366274,3.05,262693191680,0.123,0.02694
JNJ,Johnson & Johnson,21.964674,7.16049,2.11,584376451072,0.091,0.28456
LLY,Eli Lilly and Company,44.045376,34.042152,0.61,952338219008,0.426,0.31667
PFE,"Pfizer, Inc.",19.595589,1.6328657,6.4,151524114432,-0.012,0.124180004
ABBV,AbbVie Inc.,95.25848,-150.37457,2.96,397325729792,0.1,0.0691
