ticker,name,PER,PBR,DIV,market_cap,revenue_growth,profit_margin
LIN,Linde plc,33.98426,6.053007,1.22,232818278400,0.058,0.20297001
APD,"Air Products and Chemicals, Inc",20.061602,4.062355,2.58,62606413824,0.058,-0.02733
SHW,Sherwin-Williams Company (The),35.149124,19.324295,0.89,89917071360,0.056,0.108950004
FCX,"Freeport-McMoRan, Inc.",42.328945,4.8886857,0.96,92387770368,-0.015,0.08505
NEM,Newmont Corporation,18.99378,4.017566,0.8,134153658368,0.2,0.33423
