ticker,name,PER,PBR,DIV,market_cap,revenue_growth,profit_margin
NVDA,NVIDIA Corporation,46.98515,38.802124,0.02,4621547864064,0.625,0.53007
MSFT,Microsoft Corporation,24.857948,7.549748,0.91,2952363507712,0.167,0.39044
GOOGL,Alphabet Inc.,29.137835,9.168922,0.28,3810313371648,0.18,0.32810003
META,"Meta Platforms, Inc.",27.936089,7.635762,0.33,1658528202752,0.238,0.30084
AMZN,"Amazon.com, Inc.",29.304045,5.4850416,0.0,2255514238976,0.136,0.108339995
