ticker,name,PER,PBR,DIV,market_cap,revenue_growth,profit_margin
XOM,Exxon Mobil Corporation,21.98209,2.372843,2.73,621104136192,-0.013,0.089049995
CVX,Chevron Corporation,27.74208,1.9370838,3.85,367741108224,-0.06,0.06611
COP,ConocoPhillips,17.4063,2.0999336,3.01,136583938048,-0.068,0.13252
SLB,SLB Limited,21.638298,2.9123712,2.29,76037603328,0.05,0.09449001
EOG,"EOG Resources, Inc.",12.222444,2.2099726,3.29,67200868352,-0.024,0.24410999
