current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year
2084430551179,1788890417386,341278115664,1272824325669,1057146168084,403226308042,1729369263460,1647287353962,4323719057894,1733744758834,1295457183577,2545243040452,542478452882,1778476017442,5754565528569,6138128790832,5102189608043,5365434744179,652375920526,772694046653,104825998022,223685061786,10676625485,4952969520,331792630147,-355896771530,,,,2016
2734483836421,2084430551179,369533001331,1637677144578,1272824325669,641328902388,2599645895606,1729369263460,5877488986552,2497247026303,1733744758834,3926706308999,741353040522,1950782677553,7641360524432,5754565528569,6756693029167,5102189608043,884667495265,652375920526,296491317621,104825998022,238704057370,174778425636,445980000789,-834401519014,,,,2017
2233328060591,2734483836421,621247370687,913099395252,1637677144578,520248469322,2927265198001,2599645895606,5756067240947,1584398430099,2497247026303,3637832042030,906718576715,2118235198917,7982103642672,7641360524432,7118168180987,6756693029167,863935461685,884667495265,263517409591,296491317621,184015107324,163100029199,1062343411816,-1414462263184,,,,2018
2530944169760,2233328060591,799575276871,1109236522215,913099395252,488148655157,2707627521835,2927265198001,5770780509572,2046234453957,1584398430099,3566176252062,989261821617,2204604257510,8302068230724,7982103642672,7273147981450,7118168180987,1028920249274,863935461685,403129277832,263517409591,158228581112,102300470956,769041422028,-354330692441,,,,2019
3161799525105,2530944169760,694606987268,1114217058203,1109236522215,859393512529,2367766836530,2707627521835,6038600271628,2284222240450,2046234453957,3610912434530,1221510326371,2427687837098,9541789540547,7975366478638,8251449217961,6933431478705,1290340322586,1041934999933,681019009060,476352883489,442766339881,330902557767,950268413751,-826161591129,,,,2020
4113364037891,3161799525105,565874458592,1895348989606,1114217058203,1392013529303,3146377615567,2367766836530,7741352841297,3310267874012,2284222240450,4427146647365,2048111837450,3314206193932,14945609219058,9541789540547,12815071627549,8251449217961,2130537591509,1290340322586,1264223240881,681019009060,1193179599822,878915068997,1177629168876,-1008293110517,,,,2021
4713796330744,4113364037891,577908207202,1792871361422,1895348989606,1978792005948,4130978039269,3146377615567,9793617826430,4270416742099,3310267874012,5527824867091,2969156189573,4265792959339,19589409483381,14945609219058,17215010892566,12815071627549,2374398590815,2130537591509,1271751532028,1264223240881,1135062357037,976863035583,1514999766762,-1996725064874,,,,2022
5349008000000,4713795000000,1389646000000,2250891000000,1792871000000,1572002000000,4855578000000,4130978000000,11204306000000,4219145000000,4270417000000,11204306000000,3413560000000,4714575000000,20605290000000,19589409000000,18741974000000,17215010000000,1863316000000,2374399000000,830824000000,1271752000000,74051000000,565201000000,2104064000000,-1904419000000,,,,2023
5853122000000,5349008000000,1329386000000,2783930000000,2250891000000,1575241000000,4479772000000,4855578000000,11378212000000,3954861000000,4219145000000,6024347000000,3868154000000,5353865000000,21200755000000,20605290000000,19457084000000,18741974000000,1743671000000,1863316000000,706043000000,830824000000,139524000000,449274000000,1110059000000,-969469000000,,,,2024
6778361000000,5853122000000,1406403000000,3398399000000,2783930000000,1788772000000,3724150000000,4479772000000,11930883000000,4507244000000,3954860000000,6167829000000,4191229000000,5763054000000,21896603000000,21200755000000,20147018000000,19457084000000,1749585000000,1743671000000,665007000000,706043000000,67373000000,341262000000,1331402000000,-796346000000,,,,2025
