total_assets,current_assets,prev_current_assets,accounts_receivable,prev_accounts_receivable,cash,inventory,short_term_investments,ppe_net,prev_ppe_net,total_equity,retained_earnings,total_liabilities,current_liabilities,prev_current_liabilities,sga_expense,prev_sga,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,income_tax,revenue,prev_revenue,short_term_debt,capex,cash_from_operations,roe,debt_ratio,opm,year,operating_income,prev_operating_income,net_income
456422079722,426104997914,38836786832,22235921939,10644394486,305423576953,14153603864,76581946900,8422466844,9295607265,438808093399,-98756840949.0,456422079722,13352660263,14736738226,33827762276,27471867581,38378159545,30710139904,14660212754,14243534496,0,53038372299,44953674400,24885000000,-85602592799,-27198834906,,,,2023,,,
421690971946,342028598622,426104997914,28333648672,22235921939,265535614827,29307431937,9680103000,10222753109,8422466844,402501180228,,421690971946,15446451719,13352660263,50732446402,33827762276,37299613681,38378159545,9530330156,14660212754,8346985,46829943837,53038372299,0,4822560710,-43770453661,,,,2024,,,
399370499942,266961428428,342028598622,17772236564,28333648672,156738581281,19010264142,40399292507,18712401169,10222753109,348594990774,-192227859473.0,399370499942,27821714644,15446451719,63891056973,50732446402,28559588971,37299613681,4418749383,9530330156,14222,32978338354,46829943837,0,-90217075565,-17322515546,,,,2025,-59472307590.0,-41202116246.0,-55495341539.0
