current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,long_term_debt
263898991349,0,22624703094,138953909502.0,0.0,92725865771,522157891748,0,809177121206,157632171861,0,9080570944,171396181022,70083238827,637780940184,620598045942,0,587333498822,0,33264547120,0,30583391424,0,2681155696,0,-9251364017,-8739612891,82856729827,-83788334375,,,,2020,
372780446028,263898991349,76665885310,,,110825916366,539342237250,522157891748,941014398589,182382542307,157632171861,1000000000,259131514537,109077909431,681882884052,1000931518781,610919903315,883281997614,573586291193,117649521167,37333612122,45182394154,28512269427,72467127013,8821342695,79855165634,67453542860,203808775837,-133522791745,,,,2021,
498103203993,372780446028,122363723877,,,120235171391,641404812271,539342237250,1191756988159,265030183039,182382542307,1000000000,336767845823,184818615077,854989142336,1316163420252,1000931518781,1019311903759,883281997614,296851516493,117649521167,64328497400,45182394154,232523019093,72467127013,244520067106,183925142573,293618998810,-258781285191,,,,2022,6836886000.0
433050450649,498103203993,76565618165,,,90555536160,629232623049,641404812271,1127535530258,176728997546,265030183039,0,259199449761,37368065649,868336080497,3034862226,4049676769,834516052568,1019311903759,75135434327,296851516493,51403390442,64328497400,23732043885,232523019093,2998332323,25377820749,180749115327,-197490763161,,,,2023,6836173000.0
465866345845,433050450649,38156613986,129921442137.0,123993502545.0,100516922880,567670328976,629232623049,1088723750887,159688137695,176728997546,2308000000,1088723750887,24674718487,875513939249,1910332427,3034862226,830588902919,834516052568,61547000833,75135434327,50287511772,51403390442,11259489061,23732043885,6404080651,23762727122,97822445823,-116081805617,,,,2024,6836173000.0
588417854745,465866345845,33867887933,197241019755.0,129921442137.0,148608174606,535693929412,567670328976,1178006544303,248098651061,159688137695,34184000000,1178006544303,75993061844,897305160164,4115177030,1910332427,957004616968,830588902919,108289942843,61547000833,59228459456,50287511772,49061483387,11259489061,5820854744,47605327690,71551720318,-79507877861,,,,2025,6836349000.0
