current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,depreciation
,,32111442000000,52432411000000,,,,,,262174324000000,,,,,69211291000000,193086317000000,192963033000000,201866745000000.0,200653482000000.0,,,,,,,,,,22726092000000,47385644000000,-29658675000000,,,,2016,
,,30545130000000,49447696000000,,,,,,301752090000000,,,,,87260662000000,215811200000000,214491428000000,239575376000000.0,201866745000000.0,,,,,,,,,,42186747000000,62162041000000,-49385216000000,,,,2017,
,,30340505000000,65893797000000,,,,,,339357244000000,,,,,91604067000000,242698956000000,247753177000000,243771415000000.0,239575376000000.0,,,,,,,,,,44344857000000,67031863000000,-52240453000000,,,,2018,2703693000000.0
,,26885999000000,76252052000000,,,,,,352564497000000,,,,,89684076000000,254582894000000,262880421000000,230400881000000.0,243771415000000.0,,,,,,,,,,21738865000000,45382915000000,-39948171000000,,,,2019,3914216000000.0
,,29382578000000,92441703000000,,,,,,378235718000000,,,,,102287702000000,271068211000000,275948016000000,236806988000000.0,230400881000000.0,,,,,,,35993876000000.0,27768509000000.0,,26407832000000,65287009000000,-53628591000000,,,,2020,2757111000000.0
,,39031415000000,81708986000000,,,,,,426621158000000,,,,,121721227000000,293064763000000,304899931000000,279604799000000.0,236806988000000.0,,,,,,,51633856000000.0,35993876000000.0,,39907450000000,65105448000000,-33047763000000,,,,2021,3369034000000.0
,,49680710000000,65102886000000,,,,,,448424507000000,,,,,93674903000000,337946407000000,354749604000000,302231360000000.0,279604799000000.0,,,,,,,43376630000000.0,51633856000000.0,,55654077000000,62181346000000,-31602804000000,,,,2022,414610000000.0
,,69080893000000,22690924000000,,,,,,455905980000000,,,,,455905980000000,346652238000000,363677865000000,,,,,,,,,6566976000000.0,43376630000000.0,,15487100000000,44137427000000,-16922817000000,,,,2023,608281000000.0
,,53705579000000,58909334000000,,,,,,514531948000000,,,,,112339878000000,370513188000000,402192070000000,300870903000000.0,258935494000000.0,,,,,,,32725961000000.0,6566976000000.0,,34451351000000,72982621000000,-85381702000000,,,,2024,0.0
,,57856378000000,67965021000000,,,,,,566942110000000,,,,,130621773000000,402135600000000,436320337000000,333605938000000.0,300870903000000.0,,,,,,,43601051000000.0,32725961000000.0,,45206805000000,85315148000000,-68512206000000,,,,2025,0.0
