current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,roe,debt_ratio,opm,year
111397849013,79333641070,38009978628,32180263005,44188081183,1312349827,75560311988,79433366670,236494235336,53253483055,73967085791,5225000000,0,83200315813,90488031201,153293919523,176766995761,157733505694,71810027933,68759907219,104956967828,88973598475,66544816562,59984293160,38412151266,28989305315,35586787060,28238403195,49616235395,10402491525,1080491080,-24142867470,,,,2016
122911461500,111397849013,52638388031,34561908237,32180263005,1101961643,103531563188,75560311988,273410787922,82762253162,53253483055,3000000000,0,87902541719,122243257599,185508246203,205605874624,176766995761,84090666510,71810027933,121515208114,104956967828,69830380157,66544816562,51684827957,38412151266,49340530382,40580415768,50080136632,1087382725,832275316,-23555181044,,,,2017
149280605972,122911461500,44151630313,-4501325753,-4861239855,1560030062,83632630820,103531563188,278701439686,89109909862,86727702657,18000000000,0,96540958346,145113403320,182160481340,226933182357,204443344709,99851647901,84090666510,127081534456,120352678199,73078557227,69830380157,54002977229,50522298042,56069577603,42514595020,62134906464,11708345013,723102930,-20044401369,,,,2018
102028657923,149280605972,33690201225,-10703431027,-4501325753,1490737355,341975040427,83632630820,727012780633,95090806246,89109909862,18000000000,250000000000,364007766867,180868730813,363005013766,262663608429,226933182357,113379968588,99851647901,149283639841,127081534456,82487491348,73078557227,66796148493,54002977229,66412118692,51025561350,60247212452,17917248683,2756436178,-464319096159,,,,2019
138879191030,102028657923,62888769113,3081414904,-10703431027,1504417946,350237076889,341975040427,798975004229,119466098909,95090806246,18000000000,250000000000,400993979573,214929470330,397981024656,306455632979,262663608429,137153466321,113379968588,169302166658,149283639841,92573497225,82487491348,76728669433,66796148493,72966269033,57901330603,105372784187,22056293094,7281227185,-57272576354,,,,2020
225058219872,143974973460,41336821412,-10884586667,3081414904,2080222128,345226969984,350237076889,900314202568,385365791684,124561881339,18000000000,250000000000,398587975843,253275303759,501726226725,318746985620,306455632979,176389041508,137153466321,142357944112,169302166658,71184879514,92573497225,71173064598,76728669433,71814850465,54413669533,60737244148,23661865459,7203653133,-129025189275,,,,2021
143916992480,225058219872,54115709456,14682320868,-10884586667,1968184924,369365695213,345226969984,832892725864,137740832182,385365791684,18000000000,0,394392969092,267712509415,438499756772,304302941269,318746985620,184368563008,176389041508,119934378261,142357944112,74400764963,71184879514,45533613298,71173064598,31255042674,23076078685,77337373778,24035957502,9485389174,30375131030,,,,2022
125628815212,143916992480,54090927393,2163376562,14682320868,1157794302,372786869377,369365695213,883327559675,415452939217,137740832182,18000000000,250000000000,437989023463,285929588581,445338536212,682312225,933769280,200782369090,184368563008,152780258083,119934378261,83710018406,74400764963,69070239677,45533613298,11084475498,34328701391,101159125195,423060647,14478099768,-68451175949,,,,2023
215914131430,131798587658,121380210932,-5784514634,3492102147,1344378330,361132861103,372872595840,1037613249183,204315065486,424746985816,38000000000,0,482789066484,132071779731,554824182699,28534330644,756759504,218338421055,200624285281,183993970188,154006513116,95929924129,81641551380,88064046059,72364961736,17325115330,78026871531,103552121283,167470953,14740796116,-34549933361,,,,2024
260024197419,215914131430,127160462751,6285683844,-5784514634,2481304277,356216231765,361132861103,1129961431954,473498486574,204315065486,38000000000,250000000000,498174430494,209641349846,631787001460,725034486,28534330644,222539936606,218338421055,223759309358,183993970188,96032155946,95929924129,127727153412,88064046059,28332315987,92289152067,129596057115,126718598,13844360364,-100028974261,,,,2025
