current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,long_term_debt,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,cash_from_operations,capex,roe,debt_ratio,opm,year,net_income
1045088587364,1014834502764,489901998618,8000000000,273895584646,245190565952,148150114284,60135300594,683548019713,439159367027,2107558500180,719356053884,647739460355,1316481624095,165916914517,791076876085,1758791900587,1448653887563,1363643462224,1138026321805,395148438363,310627565758,213582405005,154117053936,181566033358.0,156510511822.0,18922791259,158623462242,346206702,,,,2016,
945231044555,1045088587364,323871844492,60369340829,308663149639,273895584646,152895956527,38353133638,744332831392,683548019713,2287650049998,765816777865,719356053884,1452372569210,239967800225,835277480788,1993700559079,1758791900587,1614975314613,1363643462224,378725244466,395148438363,243440479098,213582405005,135284765368.0,181566033358.0,129193687288,92695499718,-369766322514,,,,2017,79001194398.0
901104061201,945231044555,338152090105,38628705645,254744999934,308663149639,0,62604632065,757374862785,744332831392,2374837740877,745007898368,765816777865,1443630013602,235802370792,931207727275,1877217928889,1993700559079,1503999347870,1614975314613,373218581019,378725244466,230150939888,243440479098,143067641131.0,135284765368.0,19352324911,168621985735,-136442211197,,,,2018,1458275788.0
985979787860,901104061201,260934544124,146751524206,242391415978,254744999934,0,45187421808,796038373765,757374862785,2547731188376,934648044762,745007898368,1599552353773,252905955971,948178834603,1872538463037,1877217928889,1495344039589,1503999347870,377194423448,373218581019,240991039702,230150939888,136203383746.0,143067641131.0,88862767849,101999701344,-347565513235,,,,2019,43590611382.0
1192301378333,985979787860,437195784663,117416191549,238889172319,242391415978,143459032383,50719657353,809876279338,796038373765,2626221534995,929841614933,934648044762,1600843056138,236872010830,1025378478857,1821184670810,1872538463037,1421500323592,1495344039589,399684347218,377194423448,249666940413,240991039702,150017406805.0,136203383746.0,141486494766,156166142164,57625975956,,,,2020,97931138698.0
1131485065999,1192301378333,361877198553,61657014881,256870131954,238889172319,176410238355,60560979755,1008343258448,809876279338,2987393730479,1082405519703,929841614933,1851191573825,331667058694,1136202156654,1973426415772,1821184670810,1602432537859,1421500323592,370993877913,399684347218,241992098372,249666940413,129001779541.0,150017406805.0,160509325060,134310613194,-280625740648,,,,2021,112347037299.0
1096309420548,1131485065999,183397560807,89184075847,284640222581,256870131954,398847547049,76048250911,1068303699066,1008343258448,3014471063421,1222898677886,1082405519703,1847719039348,394596465491,1166752024073,2129301101267,1973426415772,1813874761157,1602432537859,315426340110,370993877913,272410243488,241992098372,43016096622.0,129001779541.0,110105864213,-13539875486,-155327098911,,,,2022,
1345816746000,1096309421000,387608846000,72777313000,327105981000,284640223000,460960907000,73555092000,1126437466000,1068303699000,3535433379000,1333818957000,1222898678000,3535433379000,622447718000,1371566725000,397386461000,179906613000,2163206099000,1813874761000,438893113000,315426340000,356272770000,272410243000,,,91766870000,49432567000,33316570000,,,,2023,309851270000.0
1536223960141,1345816746356,452159539141,47681471564,341035395336,327105980568,743445848251,72041317985,1154934257451,1126437465512,3573751146561,1638004530402,1333818957490,3573751146561,592527623596,1342280676829,111585553272,397386460941,2298031457934,2163206098881,587265391375,438893113001,361526928098,356272770472,225738463277.0,82620342529.0,64456283912,256446417749,14269432730,,,,2024,193928194856.0
1836909421009,1536223960141,546026985679,232671576970,251866369812,341035395336,561029257658,88233370207,1054891841748,1154934257451,3723057252310,1453950619779,1638004530402,3723057252310,951264214490,1444314941553,203046690747,111585553272,1861752098181,2298031457934,605625920582,587265391375,396404098224,361526928098,209221822358.0,225738463277.0,81235764534,255573551179,108945280502,,,,2025,269282572016.0
