Date,Close,High,Low,Open,Volume,"('Close', '^GDAXI')","('High', '^GDAXI')","('Low', '^GDAXI')","('Open', '^GDAXI')","('Volume', '^GDAXI')"
2023-05-11,15834.91015625,15970.5400390625,15754.759765625,15943.849609375,67890500.0,,,,,
2023-05-12,15913.8203125,15938.009765625,15852.099609375,15918.25,62915400.0,,,,,
2023-05-15,15917.240234375,15982.099609375,15874.240234375,15966.9599609375,53099400.0,,,,,
2023-05-16,15897.9296875,15968.41015625,15862.3701171875,15892.7802734375,63874300.0,,,,,
2023-05-17,15951.2998046875,15992.76953125,15862.150390625,15883.6103515625,89827900.0,,,,,
2023-05-18,16163.3603515625,16230.4404296875,16069.419921875,16069.419921875,73640100.0,,,,,
2023-05-19,16275.3798828125,16331.9404296875,16203.599609375,16233.1103515625,90102600.0,,,,,
2023-05-22,16223.990234375,16267.9296875,16196.3603515625,16235.98046875,54200300.0,,,,,
2023-05-23,16152.8603515625,16224.3203125,16143.98046875,16186.4404296875,56755000.0,,,,,
2023-05-24,15842.1298828125,16013.2900390625,15802.8603515625,16008.51953125,65922900.0,,,,,
2023-05-25,15793.7998046875,15872.599609375,15726.5,15872.4599609375,66145400.0,,,,,
2023-05-26,15983.9697265625,16008.58984375,15726.740234375,15850.08984375,57308100.0,,,,,
2023-05-29,15952.73046875,16079.73046875,15925.2197265625,16064.1298828125,24247000.0,,,,,
2023-05-30,15908.91015625,16058.4296875,15889.4599609375,15962.3095703125,54563500.0,,,,,
2023-05-31,15664.01953125,15871.7001953125,15629.1201171875,15757.4296875,172555100.0,,,,,
2023-06-01,15853.66015625,15863.41015625,15734.8603515625,15744.009765625,55198400.0,,,,,
2023-06-02,16051.23046875,16071.3203125,15922.6103515625,15949.0400390625,96604000.0,,,,,
2023-06-05,15963.8896484375,16114.83984375,15928.4404296875,16079.8603515625,63777600.0,,,,,
2023-06-06,15992.4404296875,16009.2802734375,15925.5595703125,15939.3095703125,52413000.0,,,,,
2023-06-07,15960.5595703125,16020.2802734375,15909.849609375,15998.099609375,67870200.0,,,,,
2023-06-08,15989.9599609375,16019.0,15913.9501953125,15951.6103515625,59532100.0,,,,,
2023-06-09,15949.83984375,15998.900390625,15924.509765625,15993.01953125,58242200.0,,,,,
2023-06-12,16097.8701171875,16126.2998046875,16021.5498046875,16052.91015625,61393600.0,,,,,
2023-06-13,16230.6796875,16232.7001953125,16088.4697265625,16218.2001953125,72345000.0,,,,,
2023-06-14,16310.7900390625,16336.26953125,16217.4501953125,16219.08984375,75755600.0,,,,,
2023-06-15,16290.1201171875,16301.73046875,16165.66015625,16275.73046875,80150500.0,,,,,
2023-06-16,16357.6298828125,16427.419921875,16276.7900390625,16306.6298828125,211233000.0,,,,,
2023-06-19,16201.2001953125,16302.2900390625,16189.5703125,16272.2099609375,52459700.0,,,,,
2023-06-20,16111.3203125,16184.2998046875,16069.099609375,16100.2900390625,68396400.0,,,,,
2023-06-21,16023.1298828125,16145.2900390625,16002.26953125,16082.75,62212100.0,,,,,
2023-06-22,15988.16015625,15988.2099609375,15810.48046875,15867.650390625,65000700.0,,,,,
2023-06-23,15829.9404296875,15917.1396484375,15733.1201171875,15862.7900390625,108856500.0,,,,,
2023-06-26,15813.0595703125,15874.900390625,15713.7001953125,15874.150390625,72427600.0,,,,,
2023-06-27,15846.8603515625,15895.7001953125,15758.1298828125,15873.73046875,63273400.0,,,,,
2023-06-28,15949.0,15994.3095703125,15906.8798828125,15922.7099609375,69914300.0,,,,,
2023-06-29,15946.7197265625,15998.669921875,15920.0400390625,15960.4697265625,54568800.0,,,,,
2023-06-30,16147.900390625,16176.5498046875,15978.900390625,15989.4296875,85583300.0,,,,,
2023-07-03,16081.0400390625,16209.2900390625,16070.490234375,16187.91015625,52047600.0,,,,,
2023-07-04,16039.169921875,16103.9501953125,16023.7197265625,16082.9296875,42493900.0,,,,,
