DATE,CHN_CPI
2011-07-01,92.01405
2011-08-01,92.27545
2011-09-01,92.71113000000001
2011-10-01,92.79826
2011-11-01,92.62399
2011-12-01,92.88539
2012-01-01,94.27955
2012-02-01,94.19241
2012-03-01,94.36668
2012-04-01,94.27955
2012-05-01,94.01814
2012-06-01,93.49534
2012-07-01,93.58247
2012-08-01,94.193
2012-09-01,94.48210999999999
2012-10-01,94.38338
2012-11-01,94.54095
2012-12-01,95.23661
2013-01-01,96.18855
2013-02-01,97.24627
2013-03-01,96.37189000000001
2013-04-01,96.56241999999999
2013-05-01,95.98406
2013-06-01,95.98406
2013-07-01,96.07897
2013-08-01,96.56228
2013-09-01,97.33187
2013-10-01,97.4296
2013-11-01,97.3318
2013-12-01,97.6238
2014-01-01,98.6
2014-02-01,99.1
2014-03-01,98.6
2014-04-01,98.2
2014-05-01,98.3
2014-06-01,98.2
2014-07-01,98.2
2014-08-01,98.4
2014-09-01,98.9
2014-10-01,98.9
2014-11-01,98.6
2014-12-01,99.0
2015-01-01,99.3
2015-02-01,100.5
2015-03-01,99.9
2015-04-01,99.7
2015-05-01,99.5
2015-06-01,99.5
2015-07-01,99.9
2015-08-01,100.4
2015-09-01,100.5
2015-10-01,100.1
2015-11-01,100.1
2015-12-01,100.6
2016-01-01,101.1
2016-02-01,102.7
2016-03-01,102.2
2016-04-01,102.0
2016-05-01,101.6
2016-06-01,101.4
2016-07-01,101.6
2016-08-01,101.7
2016-09-01,102.4
2016-10-01,102.3
2016-11-01,102.4
2016-12-01,102.6
2017-01-01,103.7
2017-02-01,103.5
2017-03-01,103.2
2017-04-01,103.2
2017-05-01,103.3
2017-06-01,103.1
2017-07-01,103.0
2017-08-01,103.5
2017-09-01,104.1
2017-10-01,104.2
2017-11-01,104.2
2017-12-01,104.5
2018-01-01,105.2
2018-02-01,106.5
2018-03-01,105.3
2018-04-01,105.1
2018-05-01,104.9
2018-06-01,104.9
2018-07-01,105.2
2018-08-01,105.9
2018-09-01,106.6
2018-10-01,106.8
2018-11-01,106.4
2018-12-01,106.5
2019-01-01,107.0
2019-02-01,108.1
2019-03-01,107.7
2019-04-01,107.8
2019-05-01,107.8
2019-06-01,107.7
2019-07-01,108.1
2019-08-01,108.9
2019-09-01,109.8
2019-10-01,110.8
2019-11-01,111.2
2019-12-01,111.2
2020-01-01,112.8
2020-02-01,113.7
2020-03-01,112.3
2020-04-01,111.3
2020-05-01,110.4
2020-06-01,110.4
2020-07-01,110.0
2020-08-01,111.5
2020-09-01,111.7
2020-10-01,111.4
2020-11-01,110.7
2020-12-01,111.5
2021-01-01,112.55
2021-02-01,113.2193
2021-03-01,112.6615
2021-04-01,112.3269
2021-05-01,112.2154
2021-06-01,111.7692
2021-07-01,112.1038
2021-08-01,112.2154
2021-09-01,112.2154
2021-10-01,112.9962
2021-11-01,113.4424
2021-12-01,113.1077
2022-01-01,113.6655
2022-02-01,114.3347
2022-03-01,114.3347
2022-04-01,114.7809
2022-05-01,114.5578
2022-06-01,114.5578
2022-07-01,115.1156
2022-08-01,115.00399999999999
2022-09-01,115.3387
2022-10-01,115.4502
2022-11-01,115.2271
2022-12-01,115.1156
2023-01-01,116.0079
2023-02-01,115.4502
2023-03-01,115.1156
2023-04-01,114.8925
2023-05-01,114.7809
2023-06-01,114.5578
2023-07-01,114.7809
2023-08-01,115.1156
2023-09-01,115.3387
2023-10-01,115.2271
2023-11-01,114.6694
2023-12-01,114.7809
2024-01-01,115.00399999999999
2024-02-01,116.23100000000001
2024-03-01,115.2271
2024-04-01,115.1156
2024-05-01,115.1156
2024-06-01,114.7809
2024-07-01,115.3387
2024-08-01,115.7848
2024-09-01,115.7848
2024-10-01,115.5617
2024-11-01,114.8925
2024-12-01,114.8925
2025-01-01,115.5617
2025-02-01,115.3387
2025-03-01,115.1156
2025-04-01,115.0297
