observation_date,CHN_Unemployment
1990-01-01,2.5
1991-01-01,2.3
1992-01-01,2.3
1993-01-01,2.6
1994-01-01,2.8
1995-01-01,2.9
1996-01-01,3.0
1997-01-01,3.1
1998-01-01,3.1
1999-01-01,3.1
2000-01-01,3.1
2001-01-01,3.6
2002-01-01,4.0
2003-01-01,4.2
2004-01-01,4.25
2005-01-01,4.2
2006-01-01,4.15
2007-01-01,4.05
2008-01-01,4.05
2009-01-01,4.3
2010-01-01,4.15
