Date,Open,High,Low,Close,Volume,"('Close', '^N225')","('High', '^N225')","('Low', '^N225')","('Open', '^N225')","('Volume', '^N225')","('Close', '^N225').1","('High', '^N225').1","('Low', '^N225').1","('Open', '^N225').1","('Volume', '^N225').1"
2023-03-31,28009.220703125,28124.619140625,27986.619140625,28041.48046875,91100000.0,,,,,,,,,,
2023-04-03,28203.349609375,28258.91015625,28120.7109375,28188.150390625,75000000.0,,,,,,,,,,
2023-04-04,28213.9296875,28287.419921875,28139.119140625,28287.419921875,73300000.0,,,,,,,,,,
2023-04-05,28111.0390625,28133.5703125,27788.76953125,27813.259765625,74300000.0,,,,,,,,,,
2023-04-06,27589.140625,27609.859375,27427.66015625,27472.630859375,73200000.0,,,,,,,,,,
2023-04-07,27554.369140625,27591.150390625,27456.25,27518.310546875,49100000.0,,,,,,,,,,
2023-04-10,27658.51953125,27737.490234375,27597.1796875,27633.66015625,48000000.0,,,,,,,,,,
2023-04-11,27895.900390625,28068.390625,27854.8203125,27923.369140625,64800000.0,,,,,,,,,,
2023-04-12,27985.9296875,28121.4609375,27983.970703125,28082.69921875,62700000.0,,,,,,,,,,
2023-04-13,27952.580078125,28163.869140625,27952.009765625,28156.970703125,59900000.0,,,,,,,,,,
2023-04-14,28321.5390625,28515.509765625,28282.8203125,28493.470703125,72900000.0,,,,,,,,,,
2023-04-17,28537.990234375,28599.75,28414.98046875,28514.779296875,58000000.0,,,,,,,,,,
2023-04-18,28567.5390625,28698.220703125,28520.759765625,28658.830078125,62300000.0,,,,,,,,,,
2023-04-19,28619.83984375,28677.220703125,28531.5390625,28606.759765625,58000000.0,,,,,,,,,,
2023-04-20,28472.0,28694.25,28442.44921875,28657.5703125,56700000.0,,,,,,,,,,
2023-04-21,28590.55078125,28778.369140625,28527.80078125,28564.369140625,61400000.0,,,,,,,,,,
2023-04-24,28631.779296875,28680.650390625,28567.240234375,28593.51953125,50000000.0,,,,,,,,,,
2023-04-25,28697.73046875,28806.689453125,28609.76953125,28620.0703125,59300000.0,,,,,,,,,,
2023-04-26,28478.51953125,28551.609375,28319.76953125,28416.470703125,68700000.0,,,,,,,,,,
2023-04-27,28340.58984375,28459.73046875,28241.669921875,28457.6796875,73600000.0,,,,,,,,,,
2023-04-28,28705.91015625,28879.240234375,28499.509765625,28856.439453125,104000000.0,,,,,,,,,,
2023-05-01,29058.05078125,29145.890625,29016.830078125,29123.1796875,73400000.0,,,,,,,,,,
2023-05-02,29278.80078125,29278.80078125,29083.130859375,29157.94921875,63900000.0,,,,,,,,,,
2023-05-08,29095.4609375,29144.119140625,28931.810546875,28949.880859375,74100000.0,,,,,,,,,,
2023-05-09,29020.630859375,29262.359375,29020.630859375,29242.8203125,86400000.0,,,,,,,,,,
2023-05-10,29189.41015625,29195.16015625,29070.109375,29122.1796875,87300000.0,,,,,,,,,,
2023-05-11,29110.7890625,29165.58984375,29028.7109375,29126.720703125,82200000.0,,,,,,,,,,
2023-05-12,29199.30078125,29426.060546875,29141.51953125,29388.30078125,106100000.0,,,,,,,,,,
2023-05-15,29547.0390625,29629.470703125,29475.970703125,29626.33984375,88600000.0,,,,,,,,,,
