current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,retained_earnings,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_debt,total_equity,equity_corrected,roe,debt_ratio,opm,year,short_term_investments
1492635018021,0,40977456803,772662388494,0,332744153717,1077626554915,0,3432511552977,1999317157710,0,314057207857,2527800473994,-3638673378,2180484844883,0,1941278477851,0,239206367032,0,160101973527,0,49995739659,0,3713580297,1908745648,2567158183,-41514297743,1897451933596,,,,,,2018,
1579013789246,1492635018021,38215576367,811512440017,772662388494,306018124340,1077232905571,1077626554915,4000830147806,2116804025677,1999317157710,467144661806,3010332682377,-1611051883,3781445371058,2180484844883,3388812828025,1941278477851,392632543033,239206367032,227407317091,160101973527,130252420646,49995739659,55920494116,16022962032,75200087039,-411145220563,4730764473377,990497465429.0,,,,,2019,
1238407924057,1579013789246,52293891327,542936178266,811512440017,318970651417,1134913758285,1077232905571,3703454378084,1740041065687,2116804025677,575801483802,2735203886439,-19648092157,2983970863029,3781445371058,2588585569072,3388812828025,395385293957,392632543033,317807821236,227407317091,44074735485,130252420646,-17980082873,-19258017305,386562290399,-108858156959,4450117690385,968250491645.0,,,,,2020,452930888.0
1561557951889,1238407924057,81009178762,651997207777,542936178266,413134533484,1256151065951,1134913758285,4022701434672,1944010947810,1740041065687,631281238867,2985558691550,28986674755,3094698644786,2983970863029,2690409635241,2588585569072,404289009545,395385293957,250724353539,317807821236,120066031213,44074735485,94357230108,76516679128,110584865944,-89878018338,2943074683858,1037142743122.0,,,,,2021,615353267.0
2221499626151,1561557951889,212739996074,841772276714,651997207777,628720732435,1288099893885,1256151065951,4693470608273,2504911410809,1944010947810,659765182735,3590259543651,68905108294,3510143917637,3094698644786,3075121535511,2690409635241,435022382126,404289009545,253025718274,250724353539,143248629974,120066031213,59841661132,29129546895,-67110735046,-117688013923,4841244061266,1103211064622.0,,,,,2022,47275463149.0
2351430099777,2221499626151,277804610275,835646079231,841772276714,725845310041,1280946624546,1288099893885,4761300218430,2811484808084,2504911410809,903104096251,4761300218430,175547848189,4300571503251,3510143917637,3663028821366,3075121535511,637542681885,435022382126,336709354296,253025718274,257836947601,143248629974,37741446667,131922316419,454662926622,-51720705642,3369034869259,1224159409651.0,,,,,2023,45977975473.0
3036422654447,2351430099777,249076858015,1174269946317,835646079231,885404450614,2171715866687,1280946624546,6218812921202,3092775159627,2811484808084,563140401002,4163194426688,353099108919,18019587875,18805915183,4103207266477,3663028821366,791772345743,637542681885,384790688814,336709354296,362479487133,257836947601,705497479,222929444192,412091967128,-214607937295,6241967097349,2055618494514.0,,,,,2024,15632829079.0
3738227618774,3036422654447,216772513676,1407781308556,1174269946317,1277633122307,2307100942537,2171715866687,7227883006296,3561457465146,3092775159627,464450013386,4738162049013,829390616372,71566830053,18019587875,4715860048203,4103207266477,1252651568406,791772345743,452042026373,384790688814,746968417289,362479487133,122952826904,502837667965,493009624019,-212807854290,5813137772170,2489720957283.0,,,,,2025,156268566732.0
