date,ticker,short_ratio,source
2026-04-13,101490,0.0844,multi_fallback
2026-04-14,101490,0.1344,multi_fallback
2026-04-15,101490,0.1344,multi_fallback
2026-04-16,101490,0.2344,multi_fallback
2026-04-17,101490,0.3356,multi_fallback
2026-04-20,101490,0.2512,multi_fallback
2026-04-21,101490,0.2012,multi_fallback
2026-04-22,101490,0.3794,multi_fallback
2026-04-23,101490,0.3794,multi_fallback
2026-04-24,101490,0.2794,multi_fallback
2026-04-27,101490,0.1782,multi_fallback
2026-04-28,101490,0.1782,multi_fallback
2026-04-29,101490,0.1782,multi_fallback
2026-04-30,101490,0.1782,multi_fallback
2026-05-01,101490,0.1782,multi_fallback
2026-05-04,101490,0.1782,multi_fallback
2026-05-05,101490,0.1782,multi_fallback
2026-05-06,101490,0.1782,multi_fallback
2026-05-07,101490,0.1782,multi_fallback
2026-05-08,101490,0.1782,multi_fallback
2026-05-11,101490,0.1782,multi_fallback
2026-05-12,101490,0.1782,multi_fallback
2026-05-13,101490,0.6054,multi_fallback
2026-05-14,101490,0.6054,multi_fallback
2026-05-15,101490,0.6054,multi_fallback
2026-05-18,101490,0.6054,multi_fallback
2026-05-19,101490,0.6054,multi_fallback
2026-05-20,101490,0.2528,multi_fallback
2026-05-21,101490,0.2528,multi_fallback
2026-05-22,101490,0.3584,multi_fallback
2026-05-25,101490,0.28759999999999997,multi_fallback
