date,ticker,short_ratio,source
2026-04-12,23530,0.2332,multi_fallback
2026-04-13,23530,0.0804,multi_fallback
2026-04-14,23530,0.1362,multi_fallback
2026-04-15,23530,0.1362,multi_fallback
2026-04-16,23530,0.1362,multi_fallback
2026-04-17,23530,0.1362,multi_fallback
2026-04-20,23530,0.0558,multi_fallback
2026-04-22,23530,0.0596,multi_fallback
2026-04-23,23530,0.0596,multi_fallback
2026-04-24,23530,0.0596,multi_fallback
2026-04-27,23530,0.0596,multi_fallback
2026-04-28,23530,0.1596,multi_fallback
2026-04-29,23530,0.2596,multi_fallback
2026-04-30,23530,0.2596,multi_fallback
2026-05-01,23530,0.2596,multi_fallback
2026-05-04,23530,0.2596,multi_fallback
2026-05-05,23530,0.2596,multi_fallback
2026-05-06,23530,0.2596,multi_fallback
2026-05-07,23530,0.2596,multi_fallback
2026-05-08,23530,0.2596,multi_fallback
2026-05-11,23530,0.2596,multi_fallback
2026-05-12,23530,0.2596,multi_fallback
2026-05-13,23530,0.232,multi_fallback
2026-05-14,23530,0.232,multi_fallback
2026-05-15,23530,0.2,multi_fallback
2026-05-18,23530,0.2,multi_fallback
2026-05-19,23530,0.2,multi_fallback
2026-05-20,23530,0.2458,multi_fallback
2026-05-21,23530,0.2458,multi_fallback
2026-05-22,23530,0.2442,multi_fallback
2026-05-25,023530,0.24420000000000003,multi_fallback
