date,ticker,short_ratio,source
2026-04-13,500,0.1576,multi_fallback
2026-04-14,500,0.2516,multi_fallback
2026-04-15,500,0.2516,multi_fallback
2026-04-16,500,0.2516,multi_fallback
2026-04-17,500,0.1776,multi_fallback
2026-04-20,500,0.1776,multi_fallback
2026-04-27,500,0.1,multi_fallback
2026-04-28,500,0.2775999999999999,multi_fallback
2026-04-29,500,0.349,multi_fallback
2026-04-30,500,0.349,multi_fallback
2026-05-01,500,0.249,multi_fallback
2026-05-04,500,0.249,multi_fallback
2026-05-05,500,0.0713999999999999,multi_fallback
2026-05-06,500,0.0713999999999999,multi_fallback
2026-05-07,500,0.0713999999999999,multi_fallback
2026-05-08,500,0.0713999999999999,multi_fallback
2026-05-11,500,0.1,multi_fallback
2026-05-12,500,0.1,multi_fallback
2026-05-13,500,0.1,multi_fallback
2026-05-14,500,0.1,multi_fallback
2026-05-15,500,0.3359999999999999,multi_fallback
2026-05-18,500,0.4907999999999999,multi_fallback
2026-05-19,500,0.5908,multi_fallback
2026-05-20,500,0.5908,multi_fallback
2026-05-21,500,0.5908,multi_fallback
2026-05-22,500,0.3936,multi_fallback
2026-05-25,000500,0.2712,multi_fallback
