date,ticker,short_ratio,source
2026-04-12,263750,0.6100000000000001,multi_fallback
2026-04-13,263750,0.6100000000000001,multi_fallback
2026-04-14,263750,0.6100000000000001,multi_fallback
2026-04-15,263750,0.2578,multi_fallback
2026-04-16,263750,0.2578,multi_fallback
2026-04-17,263750,0.2578,multi_fallback
2026-04-20,263750,0.2578,multi_fallback
2026-04-21,263750,0.2578,multi_fallback
2026-04-22,263750,0.2578,multi_fallback
2026-04-23,263750,0.2578,multi_fallback
2026-04-24,263750,0.2578,multi_fallback
2026-04-27,263750,0.2578,multi_fallback
2026-04-28,263750,0.2578,multi_fallback
2026-04-29,263750,0.2578,multi_fallback
2026-04-30,263750,0.2578,multi_fallback
2026-05-01,263750,0.2578,multi_fallback
2026-05-04,263750,0.2578,multi_fallback
2026-05-05,263750,0.2578,multi_fallback
2026-05-06,263750,0.2578,multi_fallback
2026-05-07,263750,0.2578,multi_fallback
2026-05-08,263750,0.2578,multi_fallback
2026-05-11,263750,0.2578,multi_fallback
2026-05-12,263750,0.2578,multi_fallback
2026-05-13,263750,0.3388,multi_fallback
2026-05-14,263750,0.3388,multi_fallback
2026-05-15,263750,0.3388,multi_fallback
2026-05-18,263750,0.3388,multi_fallback
2026-05-19,263750,0.3388,multi_fallback
2026-05-20,263750,0.6572000000000001,multi_fallback
2026-05-21,263750,0.6572000000000001,multi_fallback
2026-05-22,263750,0.6572000000000001,multi_fallback
2026-05-25,263750,0.6572000000000001,multi_fallback
