date,ticker,short_ratio,source
2026-04-12,395160,0.2014,multi_fallback
2026-04-13,395160,0.2014,multi_fallback
2026-04-14,395160,0.2014,multi_fallback
2026-04-15,395160,0.2014,multi_fallback
2026-04-16,395160,0.2014,multi_fallback
2026-04-17,395160,0.2014,multi_fallback
2026-04-20,395160,0.2014,multi_fallback
2026-04-21,395160,0.2014,multi_fallback
2026-04-22,395160,0.2014,multi_fallback
2026-04-23,395160,0.2014,multi_fallback
2026-04-24,395160,0.2014,multi_fallback
2026-04-27,395160,0.2014,multi_fallback
2026-04-28,395160,0.2014,multi_fallback
2026-04-29,395160,0.2014,multi_fallback
2026-04-30,395160,0.2014,multi_fallback
2026-05-01,395160,0.2014,multi_fallback
2026-05-04,395160,0.2014,multi_fallback
2026-05-05,395160,0.2014,multi_fallback
2026-05-06,395160,0.2014,multi_fallback
2026-05-07,395160,0.2014,multi_fallback
2026-05-08,395160,0.2014,multi_fallback
2026-05-11,395160,0.2014,multi_fallback
2026-05-12,395160,0.2014,multi_fallback
2026-05-13,395160,0.2014,multi_fallback
2026-05-14,395160,0.2014,multi_fallback
2026-05-15,395160,0.2014,multi_fallback
2026-05-18,395160,0.2014,multi_fallback
2026-05-19,395160,0.2014,multi_fallback
2026-05-20,395160,0.2014,multi_fallback
2026-05-21,395160,0.2014,multi_fallback
2026-05-22,395160,0.2014,multi_fallback
2026-05-25,395160,0.20140000000000002,multi_fallback
