total_assets,current_assets,prev_current_assets,cash,inventory,ppe_net,prev_ppe_net,total_equity,retained_earnings,total_liabilities,current_liabilities,prev_current_liabilities,operating_income,prev_operating_income,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,income_tax,net_income,revenue,prev_revenue,sga_expense,prev_sga,capex,cash_from_operations,roe,debt_ratio,opm,year
1152227968481,1075525917500,597262316831,298466072590,273426858792,19580721658,11181576523,773534561558,323527073431,1152227968481,342617751499,387790345478,271729951500,201472478355,1383282506544,1157570386406,362176072235,272892779979,68980334282,227940276635,1745458578779,1430463166385,90446120735,71420301624,-195862679405,246532013786,,,,2024
1272320058801,1186808812306,1075525917500,377924043510,270685735418,29559680434,19580721658,824724855468,377032052406,447595203333,408739495178,342617751499,350141338776,271729951500,1527848622141,1383282506544,454852037285,362176072235,85230812578,269571288127,1982700659426,1745458578779,104710698509,90446120735,-21321147395,324127754474,,,,2025
